,Code,Year,Nitrogen oxide (NOx),Sulphur dioxide (SO₂) emissions,Carbon monoxide (CO) emissions,Organic carbon (OC) emissions,Non-methane volatile organic compounds (NMVOC) emissions,Black carbon (BC) emissions,Ammonia (NH₃) emissions,Percentage daily smokers,TBL rate
2866,KOR,2004,16.467387070869304,4.661341899217025,10.683074683798433,0.5040750552097972,8.63274693836579,0.4500571672354949,2.3359800240915476,27.700001,30.85790194273504
2867,KOR,2005,15.255384846964377,4.216054189663823,10.123292523833417,0.4723150025087808,8.214045158053185,0.4309266432513798,2.36639719016558,27.0,29.90586706393404
2868,KOR,2006,14.727282303370787,4.5269743178170145,10.58658507223114,0.49430404293739966,8.625023073836276,0.4275630016051365,2.2519585674157305,26.4,29.563441449494103
2869,KOR,2007,13.433208985158444,4.05179382270357,10.029194243882872,0.48936000802246293,9.367624348174889,0.39210473325310874,2.6922494985960688,25.799999,29.268164781896186
2870,KOR,2008,11.985066613242513,4.055855253931684,9.439901833116298,0.49191715917059,9.223225483321647,0.35820695181809076,2.5433603125313033,25.299999,28.97254643493249
2871,KOR,2009,11.179515515515517,3.7193073073073073,10.268741741741742,0.4709513813813814,9.205097597597598,0.3360028828828829,2.665243643643644,24.799999,28.69184703071893
2872,KOR,2010,11.355691292612217,3.8610088973308003,10.22215035489353,0.4835160451864441,9.38260621813456,0.34834623612916127,2.7733854843546935,24.4,28.481679219034376
2873,KOR,2011,10.341234629611117,4.012729181245626,9.992904628611416,0.5000002299310207,9.420369489153254,0.3472949915025492,2.63926721983405,24.1,28.16278529297746
2874,KOR,2012,10.500857713429854,3.8885877184223663,9.81386360459311,0.522163984023964,9.770353869196205,0.3469003894158762,2.905530104842736,24.0,27.85146650932774
2875,XKX,1990,,,,,,,,,
2876,XKX,1991,,,,,,,,,
2877,XKX,1992,,,,,,,,,
2878,XKX,1993,,,,,,,,,
2879,XKX,1994,,,,,,,,,
2880,XKX,1995,,,,,,,,,
2881,XKX,1996,,,,,,,,,
2882,XKX,1997,,,,,,,,,
